payer,toc,outcome,spec,sample,overall_att,overall_se,n_na_cells,pretrend_p
mdcd,IP,vol_per_bene_mean,sens,all_cohorts,-23.2238389383887,16.4880629491742,0,0
mdcd,IP,vol_per_bene_mean,sens,c2014,-9.85203194205296,19.1484550477659,0,0.79016
mdcd,IP,vol_per_capita_mean,main,all_cohorts,8.03830950561788,2.25990308665019,0,0
mdcd,IP,vol_per_capita_mean,main,c2014,9.17271345074101,3.00583566169484,0,0.38768
mdcd,IP,vol_per_capita_mean,sens,all_cohorts,7.45082864161027,1.88378853681979,0,0
mdcd,IP,vol_per_capita_mean,sens,c2014,8.5345674360539,2.16174409831974,0,0.83153
mdcd,NF,spend_per_bene_mean,main,all_cohorts,-183.36522935505,128.316893337031,0,0
mdcd,NF,spend_per_bene_mean,main,c2014,-158.086804360125,131.294239928279,0,0.51347
mdcd,NF,spend_per_bene_mean,sens,all_cohorts,-197.747601141291,66.8018982530606,0,0
mdcd,NF,spend_per_bene_mean,sens,c2014,-173.232480978988,76.0447401742019,0,0.10859
mdcd,NF,spend_per_capita_mean,main,all_cohorts,-2.63201770661558,12.3843046931094,0,0
mdcd,NF,spend_per_capita_mean,main,c2014,-0.663611604656866,12.1811800891674,0,0.26145
mdcd,NF,spend_per_capita_mean,sens,all_cohorts,-5.57061701076234,5.89941651568083,0,0
mdcd,NF,spend_per_capita_mean,sens,c2014,-3.43224963225249,6.9168235167979,0,0.19969
mdcd,NF,spend_per_vol_mean,main,all_cohorts,-95.6775091879285,69.0983502355205,0,0
mdcd,NF,spend_per_vol_mean,main,c2014,-125.55933118722,85.4661049548697,0,0.53139
mdcd,NF,spend_per_vol_mean,sens,all_cohorts,-37.4230665454628,63.4824871718259,0,0
mdcd,NF,spend_per_vol_mean,sens,c2014,-46.0651925048588,75.3792023689282,0,0.57821
mdcd,NF,vol_per_bene_mean,main,all_cohorts,-10.2241157896224,7.58053875397888,0,0
mdcd,NF,vol_per_bene_mean,main,c2014,-7.58413147557587,9.29153899421706,0,0.62345
mdcd,NF,vol_per_bene_mean,sens,all_cohorts,-12.7648564651982,5.01023878860052,0,0
mdcd,NF,vol_per_bene_mean,sens,c2014,-11.0269317139531,5.53511465564308,0,0.09063
mdcd,NF,vol_per_capita_mean,main,all_cohorts,0.180592212408067,0.702748674516217,0,0
mdcd,NF,vol_per_capita_mean,main,c2014,0.434627853966955,0.78154978447079,0,0.25322
mdcd,NF,vol_per_capita_mean,sens,all_cohorts,-0.158833905166321,0.488296739138516,0,0
mdcd,NF,vol_per_capita_mean,sens,c2014,-0.053162787306673,0.560134786331615,0,0.16746
mdcd,RX,spend_per_bene_mean,main,all_cohorts,-99.9038819135966,97.1054433375859,0,0
mdcd,RX,spend_per_bene_mean,main,c2014,-134.850766518385,97.8546843139557,0,0.184
mdcd,RX,spend_per_bene_mean,sens,all_cohorts,-26.5879279582812,50.8052026216201,0,0
mdcd,RX,spend_per_bene_mean,sens,c2014,-45.4961181212238,65.8837260413498,0,0.62427
mdcd,RX,spend_per_capita_mean,main,all_cohorts,7.96305068367764,11.1486854160583,0,0
mdcd,RX,spend_per_capita_mean,main,c2014,3.35305275185965,12.0715059689335,0,0.49173
mdcd,RX,spend_per_capita_mean,sens,all_cohorts,18.8020247932215,7.3691020094503,0,0
mdcd,RX,spend_per_capita_mean,sens,c2014,16.863681198447,9.05510331603234,0,0.61764
mdcd,RX,spend_per_vol_mean,main,all_cohorts,0.420491807686852,0.964059467385174,0,4e-05
mdcd,RX,spend_per_vol_mean,main,c2014,-0.224654694882085,1.18697494232705,0,0.62301
mdcd,RX,spend_per_vol_mean,sens,all_cohorts,1.40422611918016,0.915261217435494,0,0
